Location,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,Easting,Northing,dominantLandClass,ecologicalStatus,period
HP50,0.075268817,0.596820026,0.644570286,0.644444444,0.549682875,0.287112561,0.397590361,0.384615385,0.315452756,0.25,0.575833542,450000,1200000,32s,0.429217369,Y70
HP60,0.086021505,0.604420258,0.647901399,0.461111111,0.56448203,0.290375204,0.397590361,0.384615385,0.349409449,0.25,0.560541489,460000,1200000,32s,0.417860745,Y70
HP61,0.075268817,0.593148468,0.64290473,0.622222222,0.526427061,0.301794454,0.397590361,0.384615385,0.353346457,0.25,0.558034595,460000,1210000,32s,0.427759323,Y70
HU24,0.21875,0.574132655,0.675183759,0.50802139,0.516831683,0.407098121,0.458333333,0.6,0.401810979,0.166666667,0.603367375,420000,1140000,31s,0.466381451,Y70
HU25,0.086021505,0.590077734,0.647901399,0.616666667,0.54756871,0.342577488,0.397590361,0.384615385,0.364665354,0.25,0.573828027,420000,1150000,32s,0.436501148,Y70
HU28,0.21875,0.548914411,0.683234162,0.50802139,0.522772277,0.394572025,0.458333333,0.6,0.38483305,0.166666667,0.657466188,420000,1180000,31s,0.467596682,Y70
HU31,0.086021505,0.595044196,0.640572951,0.327777778,0.431289641,0.295269168,0.397590361,0.384615385,0.303641732,0.25,0.622712459,430000,1110000,32s,0.394048652,Y70
HU34,0.234375,0.574821497,0.671683584,0.588235294,0.518811881,0.417536534,0.458333333,0.6,0.405206565,0.166666667,0.616616064,430000,1140000,31s,0.477480584,Y70
HU35,0.096774194,0.590366823,0.650566289,0.488888889,0.553911205,0.340946166,0.397590361,0.384615385,0.375984252,0.25,0.607420406,430000,1150000,32s,0.430642179,Y70
HU36,0.234375,0.573201394,0.703885194,0.518716578,0.552475248,0.425887265,0.458333333,0.6,0.409168081,0.166666667,0.662710461,430000,1160000,31s,0.482310838,Y70
